evidencia_id,ponto_id,tipo,data,gps_lat,gps_lon,arquivo,descricao,responsavel,validacao,classificacao,observacoes
EV-0000,P1,foto,2026-06-15,-30.11831,-51.20319,p1_2026-06-15_pico-manha.jpg,EXEMPLO — apague esta linha; mostra o formato esperado,Fulano,pendente,publico,Pin aproximado; conferir no local
EV-0001,GERAL,foto,2026-07-03,,,transito-tipico/geral_ter_08h.jpg,"Trânsito típico (Google Maps) — enquadramento geral (todos os pontos), terça 08:00. Fonte: Google Maps, capturado em 2026-07-03.",Gabinete (captura assistida),validada,publico,
EV-0002,GERAL,foto,2026-07-03,,,transito-tipico/geral_ter_18h.jpg,"Trânsito típico (Google Maps) — enquadramento geral (todos os pontos), terça 18:00. Fonte: Google Maps, capturado em 2026-07-03.",Gabinete (captura assistida),validada,publico,
EV-0003,GERAL,foto,2026-07-03,,,transito-tipico/geral_dom_11h.jpg,"Trânsito típico (Google Maps) — enquadramento geral (todos os pontos), domingo 11:00. Fonte: Google Maps, capturado em 2026-07-03.",Gabinete (captura assistida),validada,publico,
EV-0004,P4,foto,2026-07-03,,,transito-tipico/P4_ter_08h.jpg,"Trânsito típico (Google Maps) — corredor Av. Vicente Monteggia (15z), terça 08:00. Fonte: Google Maps, capturado em 2026-07-03.",Gabinete (captura assistida),validada,publico,
EV-0005,P4,foto,2026-07-03,,,transito-tipico/P4_ter_18h.jpg,"Trânsito típico (Google Maps) — corredor Av. Vicente Monteggia (15z), terça 18:00. Fonte: Google Maps, capturado em 2026-07-03.",Gabinete (captura assistida),validada,publico,
EV-0006,P4,foto,2026-07-03,,,transito-tipico/P4_dom_11h.jpg,"Trânsito típico (Google Maps) — corredor Av. Vicente Monteggia (15z), domingo 11:00. Fonte: Google Maps, capturado em 2026-07-03.",Gabinete (captura assistida),validada,publico,
EV-0007,P1,foto,2026-07-03,,,transito-tipico/P1P2_ter_08h.jpg,"Trânsito típico (Google Maps) — nós P1 e P2 (Kraemer, 16z), terça 08:00. Fonte: Google Maps, capturado em 2026-07-03.",Gabinete (captura assistida),validada,publico,enquadra tambem P2
EV-0008,P1,foto,2026-07-03,,,transito-tipico/P1P2_ter_18h.jpg,"Trânsito típico (Google Maps) — nós P1 e P2 (Kraemer, 16z), terça 18:00. Fonte: Google Maps, capturado em 2026-07-03.",Gabinete (captura assistida),validada,publico,enquadra tambem P2
EV-0009,P1,foto,2026-07-03,,,transito-tipico/P1P2_dom_11h.jpg,"Trânsito típico (Google Maps) — nós P1 e P2 (Kraemer, 16z), domingo 11:00. Fonte: Google Maps, capturado em 2026-07-03.",Gabinete (captura assistida),validada,publico,enquadra tambem P2
EV-0010,P3,foto,2026-07-03,,,transito-tipico/P3P5_ter_08h.jpg,"Trânsito típico (Google Maps) — P3 e P5 (Salomoni/Cavalhada, 16z), terça 08:00. Fonte: Google Maps, capturado em 2026-07-03.",Gabinete (captura assistida),validada,publico,enquadra tambem P5
EV-0011,P3,foto,2026-07-03,,,transito-tipico/P3P5_ter_18h.jpg,"Trânsito típico (Google Maps) — P3 e P5 (Salomoni/Cavalhada, 16z), terça 18:00. Fonte: Google Maps, capturado em 2026-07-03.",Gabinete (captura assistida),validada,publico,enquadra tambem P5
EV-0012,P3,foto,2026-07-03,,,transito-tipico/P3P5_dom_11h.jpg,"Trânsito típico (Google Maps) — P3 e P5 (Salomoni/Cavalhada, 16z), domingo 11:00. Fonte: Google Maps, capturado em 2026-07-03.",Gabinete (captura assistida),validada,publico,enquadra tambem P5
EV-0013,P7,foto,2026-07-03,,,transito-tipico/P7_ter_08h.jpg,"Trânsito típico (Google Maps) — Três Meninas × Costa Gama (16z), terça 08:00. Fonte: Google Maps, capturado em 2026-07-03.",Gabinete (captura assistida),validada,publico,
EV-0014,P7,foto,2026-07-03,,,transito-tipico/P7_ter_18h.jpg,"Trânsito típico (Google Maps) — Três Meninas × Costa Gama (16z), terça 18:00. Fonte: Google Maps, capturado em 2026-07-03.",Gabinete (captura assistida),validada,publico,
EV-0015,P7,foto,2026-07-03,,,transito-tipico/P7_dom_11h.jpg,"Trânsito típico (Google Maps) — Três Meninas × Costa Gama (16z), domingo 11:00. Fonte: Google Maps, capturado em 2026-07-03.",Gabinete (captura assistida),validada,publico,
EV-0016,P8,foto,2026-07-03,,,transito-tipico/P8_ter_08h.jpg,"Trânsito típico (Google Maps) — Costa Gama × Mariante (16z), terça 08:00. Fonte: Google Maps, capturado em 2026-07-03.",Gabinete (captura assistida),validada,publico,
EV-0017,P8,foto,2026-07-03,,,transito-tipico/P8_ter_18h.jpg,"Trânsito típico (Google Maps) — Costa Gama × Mariante (16z), terça 18:00. Fonte: Google Maps, capturado em 2026-07-03.",Gabinete (captura assistida),validada,publico,
EV-0018,P8,foto,2026-07-03,,,transito-tipico/P8_dom_11h.jpg,"Trânsito típico (Google Maps) — Costa Gama × Mariante (16z), domingo 11:00. Fonte: Google Maps, capturado em 2026-07-03.",Gabinete (captura assistida),validada,publico,
