janela_id,inicio_m,fim_m,ocorrencias,feridos,feridos_graves,fatais,motos,bicicletas,onibus
1750_2000m,1750.0,2000.0,42,27,8,1,29,0,0
1250_1500m,1250.0,1500.0,41,21,1,1,16,0,0
0000_0250m,0.0,250.0,104,43,11,0,34,3,2
1000_1250m,1000.0,1250.0,42,22,3,0,23,0,0
2750_2900m,2750.0,2900.8,26,14,3,0,13,0,1
0250_0500m,250.0,500.0,22,10,3,0,11,0,1
2500_2750m,2500.0,2750.0,28,22,2,0,14,1,0
2000_2250m,2000.0,2250.0,24,13,2,0,15,0,0
2250_2500m,2250.0,2500.0,12,12,2,0,7,1,0
0500_0750m,500.0,750.0,41,19,1,0,11,1,1
0750_1000m,750.0,1000.0,14,6,0,0,8,0,0
1500_1750m,1500.0,1750.0,13,6,0,0,5,0,1
